ask,Information,type,Source
12개월 장기미이체로 이체서비스가 중지된 경우 어떻게 해제하나요?,"최근 12개월동안 인터넷뱅킹/폰뱅킹/모바일뱅킹에서 이체서비스를 이용하지 않은 경우 고객님의 금융자산 보호를 위하여 이체서비스가 중단됩니다. 다시 이체를 원하시는 경우에는 인터넷뱅킹/폰뱅킹/신한쏠(SOL)에서 이체정지 해제를 하실 수 있습니다.(단, 인터넷뱅킹 출금계좌가 등록되어 있는 경우) [경로] ① 당행 고객정보에 등록되어있는 연락처로 ARS 추가인증 가능한 경우: - 인터넷뱅킹 로그인→ 사용자관리→ 인터넷뱅킹관리→ 장기미사용 정지해제 (또는) - 쏠(SOL) 로그인→ 전체메뉴→ 이체 → 이체관리→ 장기미사용정지 해제 ② ARS 추가인증이 불가한 경우 (해외체류 고객등) : - 인터넷뱅킹에서는 해제 어려우며, 쏠 (SOL)에서 해제 가능합니다. 쏠(SOL)의 경로는 위와 동일하며, 비대면 실명인증후 해제 가능합니다. 비대면실명인증 - 만 14세이상 가능 - 신분증확인 (주민등록증 또는 운전면허증 또는 여권) - 본인확인 (본인명의 계좌인증 또는 영상통화) 진행 기타 궁금하신 내용은 신한은행 고객센터 1599-8000로 문의하여 주시기 바랍니다",인터넷뱅킹,신한은행
인터넷뱅킹 보안프로그램안내해줘,"신한은행에서 고객님의 안전한 금융거래를 위해 제공되는 설치 필수 또는 권장 프로그램은 아래와 같습니다. 통합설치프로그램 : VeraProt 안전한 금융거래를 위해 제공하는 보안 프로그램들에 대해서 쉽고 편리하게 설치할 수 있도록 하는 프로그램입니다. 개인 PC방화벽/백신 보안 : ASTx 악성코드 탐지/차단, 네트워크 차단, 피싱/파밍 방지, 메모리 해킹 방어, 단말정보 수집 등 보안기능을 제공함으로써 인터넷뱅킹 이용시 발생할 수 있는 사용자의 피해를 차단할 수 있는 프로그램입니다. 키보드 보안 : TouchEn-NX Key 사용자가 키보드를 통해서 입력하는 Data를 안전하게 관리하여 기존에 알려져있거나 혹은 알려지지 않은 해킹툴들이 사용자의 키보드 입력정보를 해킹하지 못하도록 방어하는 키보드 보안 서비스입니다. 다운로드받지 않을 경우, 가상키보드가 화면에 표시되며, 설치시 물리적키보드 입력이 가능합니다. 공인인증프로그램 : CrossWebEX 다양한 환경의 PC에 설치되는 사용자모듈과 전자서명 업무 및 제출된 공인인증서의 유효성 검증을 수행하는 프로그램입니다.",,신한은행
"인터넷뱅킹에 로그인한 후 10분이 지나지 않았는데, 다시 로그인하라는 안내는 왜그래?","PC환경에 따라 로그인을 했는데도 계속해서 로그인을 다시 하라는 현상이 발생할 수가 있는데요. 이는 인터넷뱅킹/홈페이지 로그인시 세션정보가 제대로 전달되지 않기 때문에 발생하는 현상입니다. 문제 해결을 위해 다음과 같이 환경설정을 변경하여 주시기를 바랍니다. ① 인터넷 익스플로러 상단메뉴에서 [도구] => [인터넷옵션] => [개인정보탭] 선택 ② 설정값(슬라이드바)을 '낮음'으로 변경. 만약, 슬라이드바가 보이지 않는 경우 '기본값' 버튼을 눌러주시면 슬라이드바가 나타납니다. 혹은 개인적으로 이용하시는 방화벽이나 백신프로그램이 있으면 잠시 실행을 멈추신 후 이용하여 주시기를 부탁드립니다. 보다 상세한 내용은 저희 신한은행 콜센터의 인터넷뱅킹 전문상담원분께 문의주시기를 부탁드립니다.(1577-8000, 코드번호 4-4-1번)",,신한은행
전산통합이후 신계좌번호로 바꿔야만 하나요? 신계좌로 바꾸면 과거 자동이체 건은 어떻게 되나요?,"통합이후 고객수가 크게 늘어 기존 11자리 체계에서 12자리 체계로의 변경이 필요했습니다만, 신계좌로 전환하여도 기존 구계좌번호를 이용하시는데 (기존 자동이체 및 급여입금 등) 전혀 문제가 없슴을 말씀드립니다.",,신한은행
홈페이지 탈회하고 싶습니다. 어떻게 하나요?,"홈페이지 로그인 후 회원탈퇴를 하실 수 있습니다. 홈페이지 상단에 있는 고객센터 > 회원서비스 > 회원탈퇴 메뉴에서 회원탈퇴 진행할 수 있습니다. 혹시, 비밀번호를 분실하셨다면 ID/PW 로그인 화면 하단 비밀번호 재설정 메뉴를 통해서 비밀번호 재설정하고 로그인 후 회원탈퇴 가능합니다. 기타 문의는 신한은행고객센터 (☎ 1599-8000번)으로 문의 바랍니다.",홈페이지,신한은행
홈페이지 회원아이디를 변경하고 싶습니다.,"회원탈퇴를 하시고, 사용하시고 싶은 아이디로 신규 회원가입신청을 하시면 됩니다. 다만, 사용하시고 싶은 아이디가 이미 다른 고객이 사용하고 있는 경우에는 사용하실 수 없습니다. 기타 문의는 콜센터 1599-8000번으로 문의 바랍니다.",홈페이지,신한은행
홈페이지 고객정보를 수정하고 싶습니다.,"홈페이지 회원로그인 후 정보수정을 하실 수 있습니다. 홈페이지 상단에 있는 [고객센터]를 클릭하여, 회원서비스 → 회원정보변경 메뉴에서 회원정보변경을 이용하시기 바랍니다. 인터넷뱅킹의 회원정보는 인터넷뱅킹으로 로그인 하신 후 사용자 관리메뉴를 이용하여 수정하시기 바랍니다. 기타 문의는 콜센터 1599-8000번으로 문의 바랍니다.",홈페이지,신한은행
아이디/비밀번호가 생각나지 않습니다. 어떻게 해야 하나요?,"홈페이지 상단에 있는 [고객센터] > 회원서비스 메뉴에서 아이디 찾기, 비밀번호 재설정하여 이용하시기 바랍니다. 신한은행 개인 인터넷뱅킹(bank.shinhan.com) 접속 후 1. 아이디 찾기 ① 고객센터 > 회원서비스 > 아이디찾기 또는 뱅킹로그인 > 아이디찾기 ② [보기] 클릭 > 약관확인 > 동의함 체크 ③ 성명/생년월일/계좌번호/계좌비밀번호 입력 > 확인 ④ 이용자아이디 확인 완료 2. 비밀번호 재설정 ① 고객센터 > 회원서비스 ② 회원정보변경>비밀번호 찾기(재설정) ③ (개인회원)약관보기 및 동의 ④ 본인확인(이름, 생년월일, 아이디, 계좌번호, 계좌비밀번호 입력) ⑤ 사용할 비밀번호/비밀번호 확인 2회 입력>확인 ※ 영문, 숫자, 특수문자 포함 8-15자리 이내 ⑥ 비밀번호 재설정 완료 진행과정 중 궁금하신 내용은 고객센터(1599-8000)으로 문의 부탁드립니다.",,신한은행
만14세 미만의 고객은 홈페이지 회원가입이 가능하나요?,"만 14세 미만 고객은 회원가입시 '정보통신망 이용촉진 및 정보 등에 관한 법률' 및 '개인정보보호지침'에 따라 법정대리인의 정보활용 동의가 필요합니다. 당행 영업점을 통한 보호자분의 홈페이지 회원 법정대리인 등록이 완료된 고객님에 한하여 회원등록이 가능하므로 홈페이지 회원 법정대리인 등록이 안된 고객님의 보호자분께서는 먼저 가까운 영업점을 방문하여 주시기 바랍니다. [구비서류] - 법정대리인 실명확인증표 - 미성년자 기준으로 발급된 특정 또는 상세 기본증명서 - 미성년자 기준으로 발급된 가족관계증명서 * 은행 방문일로부터 3개월 이내 발급한 서류로 준비해주셔야 하며, 성함과 주민등록번호 13자리가 모두 기재되어 있어야합니다. 기타 문의는 콜센터 1599-8000번으로 문의 바랍니다.",홈페이지,신한은행
홈페이지 회원가입은 어떻게 해야 하나요?,"홈페이지 상단에 있는 [고객센터]를 클릭하여, 회원서비스 → 회원가입메뉴에서 회원가입 메뉴를 이용하시기 바랍니다. 기타 문의는 콜센터 1599-8000번으로 문의 바랍니다.",홈페이지,신한은행
2차 증빙서류는 무엇입니까?,"재직증명서, 의료보험증, 전기,전화,수도,가스 요금 청구서나 영수증 등 본인만이 소지할 수 있는 성격의 자료입니다. 고객님께서 영업점에 제시한 신분증이 마모 등으로 인해 확인이 불확실할 경우 2차 증빙서류를 함께 제시할 것을 요청할 수 있습니다.",인터넷뱅킹,신한은행
온라인 서비스 신청시 구비서류는?,"온라인 서비스 신규는 본인만 가능하고 가입시 필요서류는 다음과 같습니다. 온라인 서비스 신규 시 필요서류 : 본인 신분증. 신분증 : 국가기관 또는 지방자치단체, 교육법에 의한 학교의 장이 발급한 것으로서 성명, 주민등록번호가 기재되어 있고 부착된 사진에 의하여 본인임을 확인할 수 있는 증표 (주민등록증, 운전면허증, 공무증, 여권, 노인복지카드(경로우대증), 장애인복지카드(장애인등록증 포함), 국가 유공자증, 학생증, 외국인등록증, 국내거소신고증 등). 만14세 미만 미성년자. 만 14세 미만 미성년자는 법정대리인에 의한 신청한 가능합니다. 1. 부모가 혼인중인 경우 부 또는 모 신분증, 미성년자 기준으로 발급된 특정기본증명서, 미성년자 기준으로 발급된 상세가족관계증명서. 2. 친권자나 후견인이 지정된 경우 친권자 또는 후견인의 신분증, 미성년자 기준으로 발급된 특정 기본 증명서, 미성년 자녀 기준으로 발급된 일반 가족관계증명서(후견인은 생략). 발급서류는 3개월이내 발급된 원본으로 주민등록번호 13자리가 모두 표기된 서류로 준비부탁드립니다.",인터넷뱅킹,신한은행
회원탈퇴 후 메일이 계속와요.,"인터넷뱅킹가입을 하시면 예금/대출/카드 등 거래에 대한 안내(예:예금만기 등)외에 영업점안내메일 등 몇가지 부가서비스가 기본제공됩니다. 부가서비스는 홈페이지에 로그인하셔서(인터넷뱅킹사용자는 별도 회원가입이 필요없습니다.) 이메일서비스의 수신/거부 등 변경을 하시면 됩니다. 다만, 인터넷뱅킹을 해지하시더라도 예금,카드,대출 등의 거래가 남아있을 수 있기에 메일서비스는 계속 제공됩니다. 따라서 고객님의 경우에는 기존에 제공되는 메일서비스가 계속 남아있어 부가서비스 메일을 받으신 것이며. 정보가 유출되거나 하는 경우는 절대 없으니 안심하시기 바랍니다. 더이상 부가서비스 이메일 수신을 원하지 않는 경우에는 홈페이지의 회원가입을 하신 후 회원서비스의 이메일서비스에 가셔서 변경하시면 됩니다.",,신한은행
pdf 파일을 보려면 어떻게 해야 하나요?,"확장자가 .pdf 인 파일을 열어 보기 위해서는 Acrobat Reader가 있어야 합니다. Acrobat Reader는 인터넷에서 무료로 다운로드 받으실 수 있습니다. 다운로드 받으시려면 아래 주소를 클릭하시기 바랍니다.
http://www.adobe.com/kr/products/acrobat/readstep2.html",인터넷뱅킹,신한은행
이메일주소변경 안내,이메일주소 변경방법은 아래와 같습니다. ① 인터넷뱅킹 로그인 ② 사용자관리 고객정보 고객정보조회/변경메뉴 클릭 ③ 고객님의 다른 정보와 함께 이메일정보 변경 가능,인터넷뱅킹,신한은행
보내신 메일의 이름은 제이름이 아닙니다.라고 나옵니다.,"""신한은행에서 발송하는 메일 중 다른 고객이름으로 발송되는 경우가 가끔씩 발생합니다. ① 이메일계정 제공하는 포탈업체에서 동일한 이메일주소를 타 고객이 사용하시다가 본인이 해지하는 경우 ② 일정기간 이메일이 사용되지 않으면 해당 이메일계정 제공업체에서 임의로 삭제하여 이메일주소를 타인이 사용할 수 있도록 하는 경우 ③ 저희 은행을 이용하시는 고객이 이메일주소를 잘못 등록하시는 경우에 발생합니다. ※ 고객센터(1577-8000)로 전화주시면 해당이메일주소를 등록하신 고객님께 연락하여 향후 재발송되지 않도록 조치하겠습니다.",인터넷뱅킹,신한은행
이메일서비스 신청 및 해지 방법은?,이메일서비스는 인터넷뱅킹의 서비스메뉴 중 뱅킹보안서비스 > 입출내역통지서비스 > 입출내역 E-Mail통지서비스에서 신청 및 해지하실 수 있습니다.,인터넷뱅킹,신한은행
로그인은 어디서 하나요?,"인터넷뱅킹에 로그인하시려면 신한은행 홈페이지에서 개인 → 뱅킹로그인 버튼을 클릭하시면 됩니다. 참고로 인터넷뱅킹에 로그인하시려면 우선 공동인증서 또는 금융인증서를 발급받으셔야 하며, '인증센터'에서 발급받으실 수 있습니다. 기타 궁금하신 내용은 신한은행 고객센터 1599-8000로 문의하여 주시기 바랍니다.",인터넷뱅킹,신한은행
대학 등록금을 인터넷뱅킹으로 납부할 수 있습니까?,"당행과 수납체결이 되어있는 대학교의 등록금은 개인인터넷뱅킹을 통해 납부가 가능합니다. 공과금/법원 기타 대학등록금 납부 메뉴에서 납부가 가능하며, 해당메뉴로 접속후 학교와 학번을 입력후 납부 하시면 됩니다. 해당메뉴로 등록금을 납부할 경우 온라인 이체한도 미포함 거래입니다. 또한 등록금 납부 가상계좌를 알고 계실경우 이체 메뉴를 이용하여 즉시이체하셔도 됩니다. 이럴경우 이체한도에 포함되는 거래입니다. 가상계좌로 이체하시는 경우엔 당행과 수납체결이 되어있지 않더라도 등록금납부는 가능합니다. 당행과 수납체결 여부는 등록금납부 통지서상의 수납은행으로 확인하실 수 있으며, 해당 등록금 납부 메뉴에서 납부하고자하는 학교명이 확인되지 않을경우 당행과 수납체결된 학교는 아닙니다",,신한은행
홈페이지 비밀번호를 5회이상 틀렸습니다. 재설정하려면 어떻게 하죠?,"홈페이지 비밀번호를 5회 오류의 경우 홈페이지 로그인이 불가능하오니 본인인증 절차 후 비밀번호를 새로 등록하시면 이용 가능합니다. 신한은행 홈페이지 접속 후 ① (오른쪽 상단)고객센터 회원서비스 ② 회원정보변경 비밀번호 찾기(재설정) ③ (개인회원)약관보기 및 동의 ④ 본인확인(이름, 생년월일, 아이디, 계좌번호, 계좌비밀번호 입력) ⑤ 사용할 비밀번호/비밀번호 확인 2회 입력확인 ※ 영문, 숫자, 특수문자 포함 8-15자리 이내 ⑥ 비밀번호 재설정 완료 - ID/PW 로그인 화면 하단 비밀번호 재설정 메뉴를 통해서도 진행 가능합니다. 기타 궁금하신 내용은 신한은행 고객센터 1599-8000로 문의하여 주시기 바랍니다.",홈페이지,신한은행
휴대폰통지서비스 신청 방법은?,휴대폰 통지서비스는 본인의 금융거래내역을 거래발생 즉시 등록된 이동통신 단말기로 통지해 주는 서비스입니다. 휴대폰통지서비스 신청방법 ① 개인뱅킹 로그인 ② 뱅킹보안서비스 ③ 입출내역통지서비스 ④ S알리미 서비스와 입출내역 SMS통지서비스 중 선택 휴대폰통지서비스 특징 S알리미 서비스 : 무료서비스 / 스마트폰 앱 다운로드후 사용가능 입출내역 SMS통지서비스 : 유료서비스 / 핸드폰으로 SMS 발송,,신한은행
보안카드 번호 입력은 어떻게 하면 되죠?,씨크리트(보안)카드는 고객님이 은행에서 신한온라인서비스(인터넷뱅킹)에 가입하신 후 받은 카드입니다.  보안카드번호가 필요한 모든 거래에  기타 궁금하신 내용은 신한은행 고객센터 1599-8000로 문의하여 주시기 바랍니다.,인터넷뱅킹,신한은행
즉시/예약 이체 서비스가 안되는 경우 어떻게 해야해?,"이체서비스가 되지 않는 경우 여러가지 사유가 있을수 있으니, 신한은행 고객상담센터 1599-8000번으로 문의 주시면 자세히 상담해드리겠습니다.",인터넷뱅킹,신한은행
신탁적금(당행)으로 이체시 토요일 인터넷뱅시간 제한하는 방법은?,"""우측 상단 QUICK MENU의 이용안내를 참고하시기 바랍니다. ",인증서,신한은행
타행에서 이미 인증서가  발급되었다는데 인증서가 없어요.,공동인증서는 발급기관별 용도별 1개의 인증서만 발급이 가능합니다. 타기관에서 발급받은 인증서가 당행 홈페이지 또는 신한 쏠(SOL)에서 확인되지 않는 경우 아래 내용 체크해 주시기 바랍니다. ① 인증서 정상 저장 여부 확인 ② 인증서의 만료일자(유효기간) 경과여부 확인 ③ 보유하신 인증서의 용도 확인 -은행/신용카드/보험용 또는 전자거래범용 인증서만 사용 가능합니다. ※ 이상이 없으신 경우 정확한 내용 확인을 위해 신한은행 고객상담센터(☎1599-8000)로 전화주시기 바랍니다.,,신한은행
공동인증서 암호가 틀리다고 하는데요?,"인증서 비밀번호는 암호화처리 되어 있어 확인이 불가능합니다. 인증서 비밀번호 오류가 계속 발생된다면 신한 쏠, 개인인터넷뱅킹 인증서 발급/재발급 메뉴에서 재발급을 진행해 주시기 바랍니다.",인증서,신한은행
인터넷뱅킹에서 인증서 암호를 변경하려면 어떻게 해야 하나요?,"공동인증서 암호 변경은 인증서 관리 화면에서 변경가능합니다.

[신한은행 홈페이지]> 인증센터> 공동인증서(구 공인인증서) > 인증서 관리 > (인증서관리창에서)암호변경 할 인증서 선택 > (하단)암호변경버튼 클릭 > 기존암호, 새비밀번호 2회 입력

※ 인증서 암호변경 시 현재 사용중인 암호를 반드시 알고 있어야 변경가능합니다. 만약 사용중인 암호를 분실 하셨을 경우에는 인증서 발급/재발급 화면에서 인증서를 재발급 후 이용해 주시기 바랍니다.",,신한은행
공동인증서 만기 또는 갱신 안내,"신한은행에서 공동인증서를 발급받은 경우 이미 인증서 유효기간이 경과되었다면, 별도의 절차없이 인증센터에서 '인증서 발급/재발급'으로 진행하시면 됩니다. 만약, 유효기간이 한 달 이내로 남았다면 인증센터에서 '인증서 갱신'을 통해 유효기간 갱신 후 이용해 주시기 바랍니다. (재발급을 받으시면 기존 만료일자로 인증서가 재발급됩니다.) 타은행/타기관에서 인증서를 발급받은 경우 인증서를 발급받은 은행 또는 기관에서 재발급을 받으시거나 갱신을 하셔야 합니다. 신한은행 인증센터에서 해당 거래를 실행하실 경우에는 이미 다른 기관에서 인증서를 발급받으셨다는 오류메시지가 나오게 됩니다.",인증서,신한은행
인터넷뱅킹 자동이체해지 방법안내,"인터넷뱅킹에 로그인하신후, 좌측의 메뉴항목에서 이체 > 자동이체 > 자동이체조회 변경/취소 서비스를 통해 해지하실 수 있습니다.",인터넷뱅킹,신한은행
인터넷뱅킹을 통한 이체에 대해 영수증은 없습니다. 라고 나와요.,"영수증이란 돈을 받은 사람이 돈을 준 사람에게 써 주는 증서인데, 송금이체의 경우 은행은 고객의 돈을 받아 고객이 지정하는 계좌로 자금을 보내드리기 때문에 영수증을 발행 할 수 없습니다. 다만, 은행에서 이체송금시 수수료를 수취하기 때문에 수수료에 대해서는 영수증을 발행해 드립니다. (실제로 지점을 방문하셔서 무통장입금으로 이체하실 경우에도 은행에서는 '무통장입금증 타행환입금의뢰확인증'만을 확인서로 제공해드립니다. 이것이 송금금액 전체에 대해 영수증의 의미를 갖는 것은 아니며, 수수료에 대해서만 영수증으로 확인의 의미를 갖습니다) 
특히 인터넷이체의 경우 인터넷상으로 조회되는 입금확인증의 경우 위변조의 가능성이 있기 때문에 거래상대방으로부터 법적 증거력을 얻지 못하고 있는 실정입니다.

따라서 고객님이 인터넷뱅킹에 접속하여 조회하시는 인터넷뱅킹거래명세는 영수증으로는 사용될 수 없으며, 거래의 참고용으로만 사용하실 수 있습니다. (조회순서 : 개인인터넷뱅킹 로그인 → (화면 상단) 이체 → 즉시이체 → 이체결과조회 메뉴에서 상세내역 조회후 출력하실 이체건의 오른쪽에 있는 [인쇄] 버튼 클릭하시면 됩니다. 기타 궁금하신 내용은 신한은행 고객센터 1599-8000로 문의하여 주시기 바랍니다.",,신한은행
인터넷 예적금 해약하려면 어떻게 해야 하나요?,"인터넷에서 신규하셨고, 이후 통장발급을 받지 않으셨다면 인터넷뱅킹(http://bank.shinhan.com)의 금융상품 예금/신탁 해지 메뉴를 통해 해지하실 수 있습니다.",,신한은행
인터넷뱅킹 비밀번호를 잊어버렸습니다.,"인터넷뱅킹 로그인시 사용되는 인증서 암호를 잊어버리셨다면, 영업점 방문없이 인증서 재발급을 통해 인증서 암호를 다시 설정하실수 있습니다. 당행에서 발급한 인증서인 경우 당행 홈페이지에서 재발급하시면 됩니다. 신한은행 홈페이지 인증센터로 접속하시면 금융인증서와 공동인증서구 공인인증서로 메뉴가 분리되어 있으므로 해당 메뉴를 선택해서 접속해 주시면 됩니다. 타기관에서 발급된 인증서인 경우엔 해당기관에서 재발급후, 당행 홈페이지 타기관 공인인증서 등록/해제 메뉴에서 등록 후 이용하시면 됩니다.",인터넷뱅킹,신한은행
타행 이체수수료를 면제받으려면 어떻게해?,"현재 당행에서는 수수료와 관련해서, 신한은행에서 신한은행으로의 송금은 누구나 무료로 이용하실 수 있습니다. 신한은행 우수고객 분들을 대상으로 Tops Club 제도를 운영중에 있으며, Tops Club 고객으로 선정된 고객님께서는 수수료 면제 및 감면 등 다양한 혜택을 드리고 있습니다. 또한 계좌 보유만으로도 별도 우대요건 충족없이 수수료 면제 가능한 쏠편한 입출금통장이 있습니다. 입출금통장을 이미 보유하고 계시다면 기보유중인 상품을 우대통장으로 전환하시거나 쏠편한입출금통장을 추가발급 받는 방법이 있습니다 1. 우대계좌 전환 ①신한 쏠(SOL) 로그인 → 오른쪽 위 전체메뉴(≡) → 조회/관리 → 계좌관리 → 입출금 → 우대계좌 전환 ②인터넷뱅킹 로그인 → 금융상품 → 예금/신탁 → 입출금계좌전환 ③고객센터 상담사 통해서 전환도 가능합니다. 2. 신한 쏠을 통해서 쏠편한입출금통장 신규 가입하는 방법도 있습니다. 구체적인 내용은 예금주 본인께서 신한은행 고객센터 1577-8000으로 연락주시면 자세한 상담이 가능합니다.",인터넷뱅킹,신한은행
타행에서 인증서를 발급받고 신한은행에 등록하는 방법 알려줘.,"신한은행 인터넷뱅킹에 가입이 되어 있다면, 타행에서 발급받은 인증서를 신한은행에 등록하여 이용이 가능합니다. 홈페이지나 신한 쏠(SOL)의 인증센터에서 진행 가능합니다.",인증서,신한은행
인터넷뱅킹의 출금계좌 추가 삭제 방법 알려줘.,"인터넷뱅킹, 신한쏠(SOL)에서 출금계좌의 추가/삭제가 가능합니다. 단, 인터넷뱅킹 신청시 또는 그 이후에 영업점에서 ""출금계좌 인터넷추가등록 동의"" 를 하신 경우에는 인터넷뱅킹, 신한 쏠 에서 추가등록이 가능하며 동의하지 않은 경우엔 신한 쏠 에서 비대면으로 신분증 확인후 출금계좌 추가등록이 가능합니다. (출금계좌 삭제는 동의여부와 관계없이 모두 가능함)
[경로]
- 인터넷뱅킹 로그인→ 사용자관리→ 계좌관리→ 출금계좌관리
- 신한 쏠(SOL) 로그인→전체메뉴→이체→이체관리→출금계좌관리
기타 궁금하신 내용은 신한은행 고객센터 1599-8000로 문의하여 주시기 바랍니다.",인터넷뱅킹,신한은행
인터넷뱅킹 해지 방법 알려주세요,[경로] - 인터넷뱅킹 로그인 → 사용자관리 → 인터넷뱅킹관리 → 인터넷뱅킹해지 ☞ 신한은행에서 발급한 인증서 폐기여부 선택가능합니다. ☞ 쏠(모바일뱅킹) 도 사용할수 없음 - 신한 쏠(SOL) 로그인 → 전체메뉴 → 설정/인증 → 서비스 해지 ☞ 쏠(SOL)만 해지 또는 인터넷뱅킹&쏠(SOL) 모두 해지 중 선택하여 해지가능합니다. 기타 궁금하신 내용은 신한은행 고객센터 1599-8000로 문의하여 주시기 바랍니다.,인터넷뱅킹,신한은행
수표번호를 조회하고자 합니다.,"수표조회는 신한은행 홈페이지 초화면의 간편서비스 또는 인터넷뱅킹의 조회서비스를 통해 조회하실 수 있습니다. ※ 참고 : 타행 수표의 자금화 타행 수표의 자금화(현금화) 일자는 수표 입금 후 익영업일 오후 12시 20분입니다. 즉 오늘 수표를 통장에 입금하시면 내일(익영업일) 오후 12시 20분 이후에 현금으로 찾으실 수 있습니다. ※ 단, 영업일 기준이므로 휴일(토/일요일, 공휴일) 전날에 입금하시면 휴일 다음날 오후 12시 20분 이후에 현금으로 찾으실 수 있습니다.",인터넷뱅킹,신한은행
인터넷뱅킹 자동이체 신청 및 해지 방법을 알려주세요,"자동이체(기일이체)는 일정기간동안 주기적(매월,3개월,6개월)으로 지정하신 계좌로 이체하실때 편리한 서비스입니다. 당행간 자동이체는 이체 지정일 1영업일 전까지 등록하여야 하며, 타행간 자동이체는 이체 처리일 2영업일 전까지 등록하여야 합니다.자동이체 작업은 은행 영업시간 끝난 후 이루어지며, 당행의 일정에 따라 정확한 시간이 결정됩니다. 그러므로 영업시간 중에 지급계좌에 잔액이 있어야 합니다. 자동이체 신청 및 변경/해지는 당행 인터넷뱅킹을 통해 가능하며, 인터넷뱅킹에 로그인하신 후 ""이체 > 자동이체"" 서비스를 선택하시면 됩니다. ※ 주의 : 타행으로 자동이체는 '이체일 전일'에 자금을 미리 인출하므로 예금잔액이 없으면 이체처리가 안되며, 이후잔액이 채워져도 재처리를 하지 않습니다.",인터넷뱅킹,신한은행
인증서 암호를 분실했거나 변경하고 싶은 경우에는 어떻게 하나요?,"[인증서암호를 분실했을 경우]
인증센터에서 인증서를 재발급 받으시면서 암호 재설정 가능합니다. 재발급은 신규발급절차와 동일하게 진행됩니다.
[인증서암호를 변경하고 싶은 경우]
현재 사용중인 암호를 알고 있는 경우 인증센터의 '인증서 관리' 화면에서 인증서암호를 변경하실 수 있습니다. (단, 현재 이용 중인 인증서 암호를 모르실 경우 인증서 재발급 후 이용해 주시기 바랍니다. )",인증서,신한은행
공동인증서암호는 대소문자를 구분하나요?,"인증서암호는 영문 대소문자를 구분합니다. [공동인증서 암호 설정 시 유의사항] - 숫자, 영문, 특수문자 포함해서 10자리이상 30자리 이하로 설정 가능 - 영문 대/소문자를 구분함 - 연속 또는 반복된 3자리 문자, 숫자 사용불가합니다.",인증서,신한은행
"PC포맷, 인증서 삭제 등으로 인증서를 분실하였을 때는?","기존에 사용하시던 공동인증서를 폐기하지 않은 채, 컴퓨터를 포맷하거나 인증서를 삭제하시는 경우의 대처방안입니다. 1.신한은행에서 인증서를 발급받으신 경우① 인터넷뱅킹 : 신한은행 홈페이지 공동인증서(구 공인인증서) 인증서 발급/재발급 메뉴에서 재발급 받으시면 됩니다.② 신한 쏠(SOL) : 신한 쏠(SOL) 메뉴 설정/인증 공동인증서 인증서 발급/재발급 메뉴에서 재발급 가능합니다.※ 신한 쏠(SOL)에서는 은행/신용카드/보험용 인증서만 발급/재발급이 가능합니다.2.타행에서 인증서를 발급받으신 경우 타행에서 인증서를 발급받으신 경우, 발급받으신 은행에서 인증서를 재발급 받으시고 신한은행에 타기관인증서 등록 후 이용부탁드립니다.",인증서,신한은행
인터넷뱅킹을 이용하려면 어떤 PC환경을 갖춰야 합니까?,"인터넷뱅킹(bank.shinhan.com)
운영체제
윈도우 : Window7 이상
맥킨토시 : OSX10.7 이상
리눅스 : ubuntu, fedora
브라우저
윈도우 : IE10이상, 크롬, 파이어폭스, 오페라, Edge
맥킨토시 : 사파리, 크롬, 파이어폭스
리눅스 : 크롬, 파이어폭스
권장해상도 : 1280 X 1024",인터넷뱅킹,신한은행
인터넷뱅킹을 하고자 하는데 인증서는 어디서 발급 하나요?,"인증서는 신한은행에 인터넷뱅킹서비스가 가입되어 있으시면 신한은행 홈페이지 또는 신한 쏠(SOL)의 인증센터에서 발급 가능합니다. ※ 개인은 주민번호로 금융기관 통합하여 발급기관별, 용도별로 한 개의 인증서만 발급이 가능합니다. 예) 타은행에서 은행/신용카드/보험용(결제원) 인증서를 발급받은 경우 → 당행 은행/신용카드/보험용(결제원) 인증서 발급 불가",인터넷뱅킹,신한은행
개인정보 변경은 어디서 해야 하나요?,"인터넷뱅킹에 로그인 하신 후 ""사용자관리""를 클릭하신 후 ""고객정보"" > ""고객정보조회/변경"" 에서 개인정보를 변경하실 수 있습니다.",인터넷뱅킹,신한은행
보안메일서비스 안내해줘,신한은행은 이메일서비스를 통해 고객님의 거래정보와 금융정보를 메일로 알려드리는데 고객님께 발송되는 이메일 중 개인정보보호가 필요한 메일(거래정보 등)은 암호화 처리되어 보안메일로 발송되어 일반메일 (홍보 및 안내메일) 과 구별됩니다. ※ 입출내역 통지서비스는 개인뱅킹 > 뱅킹보안서비스 > 통지서비스 > 입출내역 Email통지서비스 메뉴에서 서비스 신청 및 변경이 가능합니다.,인터넷뱅킹,신한은행
인터넷으로 신규 예/적금 신청하는 방법을 알려주세요,인터넷상으로 예금/신탁을 신규가입하시려면 우선 고객님께서는인터넷뱅킹에 가입하셔야 하며 신규방법은 두 가지가 있습니다.1. 인터넷뱅킹에서 가입인터넷뱅킹 로그인을 하신 후 예금/신탁 > 신규 메뉴에서 예금 및 신탁 상품을 신규하실 수 있습니다.2. 신한S뱅크에서 가입신한S뱅크 상품센터 > 예금센터 메뉴에서 예금상품을 신규하실 수 있습니다.,인터넷뱅킹,신한은행
