date,material_type,location,quantity_units,safety_stock_days,current_days_supply,reorder_triggered
2024-10-14,Lithium_Carbonate,US_East,1450,25,0,TRUE
2024-10-14,Battery_Components,US_East,1290,18,0,TRUE
2024-10-14,Cathode_Materials,US_East,270,15,-4,TRUE
2024-10-14,Separator_Films,US_East,480,12,-6,TRUE
2024-10-14,Lithium_Hydroxide,US_East,740,25,0,TRUE
2024-10-14,Electrolyte,US_East,920,15,-4,TRUE
2024-10-15,Lithium_Carbonate,US_East,1400,25,-1,TRUE
2024-10-15,Battery_Components,US_East,1270,18,-1,TRUE
2024-10-15,Cathode_Materials,US_East,240,15,-5,TRUE
2024-10-15,Separator_Films,US_East,460,12,-7,TRUE
2024-10-15,Lithium_Hydroxide,US_East,730,25,-1,TRUE
2024-10-15,Electrolyte,US_East,900,15,-5,TRUE
2024-10-16,Lithium_Carbonate,US_East,1350,25,-2,TRUE
2024-10-16,Battery_Components,US_East,1250,18,-2,TRUE
2024-10-16,Cathode_Materials,US_East,210,15,-6,TRUE
2024-10-16,Separator_Films,US_East,440,12,-8,TRUE
2024-10-16,Lithium_Hydroxide,US_East,720,25,-2,TRUE
2024-10-16,Electrolyte,US_East,880,15,-6,TRUE
2024-10-17,Lithium_Carbonate,US_East,1300,25,-3,TRUE
2024-10-17,Battery_Components,US_East,1230,18,-3,TRUE
2024-10-17,Cathode_Materials,US_East,180,15,-7,TRUE
2024-10-17,Separator_Films,US_East,420,12,-9,TRUE
2024-10-17,Lithium_Hydroxide,US_East,710,25,-3,TRUE
2024-10-17,Electrolyte,US_East,860,15,-7,TRUE
2024-10-18,Lithium_Carbonate,US_East,1250,25,-4,TRUE
2024-10-18,Battery_Components,US_East,1210,18,-4,TRUE
2024-10-18,Cathode_Materials,US_East,150,15,-8,TRUE
2024-10-18,Separator_Films,US_East,400,12,-10,TRUE
2024-10-18,Lithium_Hydroxide,US_East,700,25,-4,TRUE
2024-10-18,Electrolyte,US_East,840,15,-8,TRUE
2024-10-19,Lithium_Carbonate,US_East,1450,25,1,TRUE
2024-10-19,Battery_Components,US_East,1360,18,1,TRUE
2024-10-19,Cathode_Materials,US_East,250,15,-3,TRUE
2024-10-19,Separator_Films,US_East,500,12,-5,TRUE
2024-10-19,Lithium_Hydroxide,US_East,800,25,1,TRUE
2024-10-19,Electrolyte,US_East,940,15,-3,TRUE
2024-10-20,Lithium_Carbonate,US_East,1400,25,0,TRUE
2024-10-20,Battery_Components,US_East,1340,18,0,TRUE
2024-10-20,Cathode_Materials,US_East,220,15,-4,TRUE
2024-10-20,Separator_Films,US_East,480,12,-6,TRUE
2024-10-20,Lithium_Hydroxide,US_East,790,25,0,TRUE
2024-10-20,Electrolyte,US_East,920,15,-4,TRUE
2024-10-21,Lithium_Carbonate,US_East,1350,25,-1,TRUE
2024-10-21,Battery_Components,US_East,1320,18,-1,TRUE
2024-10-21,Cathode_Materials,US_East,190,15,-5,TRUE
2024-10-21,Separator_Films,US_East,460,12,-7,TRUE
2024-10-21,Lithium_Hydroxide,US_East,780,25,-1,TRUE
2024-10-21,Electrolyte,US_East,900,15,-5,TRUE
2024-10-22,Lithium_Carbonate,US_East,1300,25,-2,TRUE
2024-10-22,Battery_Components,US_East,1300,18,-2,TRUE
2024-10-22,Cathode_Materials,US_East,160,15,-6,TRUE
2024-10-22,Separator_Films,US_East,440,12,-8,TRUE
2024-10-22,Lithium_Hydroxide,US_East,770,25,-2,TRUE
2024-10-22,Electrolyte,US_East,880,15,-6,TRUE
2024-10-23,Lithium_Carbonate,US_East,1250,25,-3,TRUE
2024-10-23,Battery_Components,US_East,1280,18,-3,TRUE
2024-10-23,Cathode_Materials,US_East,130,15,-7,TRUE
2024-10-23,Separator_Films,US_East,420,12,-9,TRUE
2024-10-23,Lithium_Hydroxide,US_East,760,25,-3,TRUE
2024-10-23,Electrolyte,US_East,860,15,-7,TRUE
2024-10-24,Lithium_Carbonate,US_East,1200,25,-4,TRUE
2024-10-24,Battery_Components,US_East,1260,18,-4,TRUE
2024-10-24,Cathode_Materials,US_East,100,15,-8,TRUE
2024-10-24,Separator_Films,US_East,400,12,-10,TRUE
2024-10-24,Lithium_Hydroxide,US_East,750,25,-4,TRUE
2024-10-24,Electrolyte,US_East,840,15,-8,TRUE
2024-10-25,Lithium_Carbonate,US_East,1150,25,-5,TRUE
2024-10-25,Battery_Components,US_East,1240,18,-5,TRUE
2024-10-25,Cathode_Materials,US_East,70,15,-9,TRUE
2024-10-25,Separator_Films,US_East,380,12,-11,TRUE
2024-10-25,Lithium_Hydroxide,US_East,740,25,-5,TRUE
2024-10-25,Electrolyte,US_East,820,15,-9,TRUE
2024-10-26,Lithium_Carbonate,US_East,1100,25,-6,TRUE
2024-10-26,Battery_Components,US_East,1220,18,-6,TRUE
2024-10-26,Cathode_Materials,US_East,40,15,-10,TRUE
2024-10-26,Separator_Films,US_East,360,12,-12,TRUE
2024-10-26,Lithium_Hydroxide,US_East,730,25,-6,TRUE
2024-10-26,Electrolyte,US_East,800,15,-10,TRUE
