날짜,카테고리,제품,가격,수량,매출액,고객_세그먼트,마케팅_캠페인,마케팅_채널,고객_ID,성별,연령대
2023-01-03,생활용품,청소용품,19370.57833680493,4,77482.31334721972,충성 고객,,제휴 마케팅,2605,여성,40대
2024-02-24,의류,액세서리,27252.392723562432,6,163514.3563413746,신규 고객,제휴 마케팅,제휴 마케팅,5674,여성,50대 이상
2023-12-01,의류,아우터,50324.734583531506,2,100649.46916706301,일반 고객,,이메일,6971,여성,50대 이상
2024-07-23,전자제품,노트북,633297.283560896,1,633297.283560896,신규 고객,,소셜 미디어,9121,여성,50대 이상
2023-02-13,생활용품,청소용품,41476.68635415333,3,124430.05906246,신규 고객,신규 고객 할인,오프라인 광고,5120,여성,40대
2023-10-02,생활용품,화장지,35688.51598232277,1,35688.51598232277,충성 고객,,오프라인 광고,7290,여성,50대 이상
2024-05-19,의류,액세서리,72840.62069235832,6,437043.72415414994,VIP 고객,신규 고객 할인,오프라인 광고,5106,남성,20대
2023-12-16,의류,액세서리,109513.99765507929,5,547569.9882753964,일반 고객,,이메일,4808,남성,50대 이상
2023-11-14,식품,채소,26198.189458064124,2,52396.37891612825,신규 고객,SNS 프로모션,제휴 마케팅,2231,남성,40대
2024-05-25,의류,신발,145005.30575076042,1,145005.30575076042,신규 고객,신규 고객 할인,이메일,2986,남성,20대
2023-07-11,의류,상의,52819.845965072214,1,52819.845965072214,일반 고객,,온라인 광고,2087,여성,40대
2023-04-14,의류,액세서리,144362.34412399065,6,866174.064743944,신규 고객,,소셜 미디어,9505,남성,30대
2023-06-16,생활용품,화장지,27556.90286483185,4,110227.6114593274,신규 고객,,온라인 광고,7410,남성,30대
2024-07-13,생활용품,욕실용품,23805.304561793135,2,47610.60912358627,일반 고객,,온라인 광고,9014,여성,40대
2023-10-19,식품,유제품,25270.608760914307,5,126353.04380457153,충성 고객,,제휴 마케팅,4448,남성,30대
2023-07-10,의류,아우터,141427.32173621416,1,141427.32173621416,신규 고객,,소셜 미디어,7263,남성,20대
2023-11-15,화장품,스킨케어,81463.53262749632,9,733171.7936474668,일반 고객,SNS 프로모션,오프라인 광고,8889,남성,10대
2023-04-16,화장품,향수,27560.534290711796,3,82681.60287213538,일반 고객,,제휴 마케팅,8194,여성,20대
2024-03-13,화장품,바디케어,52840.45025109667,2,105680.90050219334,일반 고객,,소셜 미디어,6967,여성,40대
2024-06-11,식품,간식,16408.382473331665,6,98450.29483998999,신규 고객,,이메일,5656,남성,40대
2024-02-18,의류,신발,103857.46901893376,8,830859.75215147,신규 고객,제휴 마케팅,이메일,1782,남성,40대
2023-06-04,의류,액세서리,89983.60035530204,4,359934.40142120817,신규 고객,,이메일,7578,여성,40대
2023-11-08,식품,과일,9966.94060065628,6,59801.643603937686,충성 고객,SNS 프로모션,제휴 마케팅,5309,남성,10대
2023-04-29,식품,간식,24940.665806415534,1,24940.665806415534,신규 고객,,이메일,4978,여성,20대
2023-04-15,화장품,헤어케어,60346.976996012825,4,241387.9079840513,신규 고객,,이메일,6038,여성,50대 이상
2023-09-28,식품,유제품,7218.698529057523,5,36093.49264528762,일반 고객,,제휴 마케팅,1560,여성,50대 이상
2023-02-13,전자제품,이어폰,901331.0987608122,10,9013310.987608122,VIP 고객,신규 고객 할인,이메일,6651,남성,50대 이상
2023-01-17,의류,아우터,40688.15187730399,3,122064.45563191199,신규 고객,,제휴 마케팅,9921,여성,30대
2024-06-27,의류,하의,28473.598384977206,2,56947.19676995441,VIP 고객,,제휴 마케팅,3205,남성,20대
2023-11-05,생활용품,욕실용품,20657.99885245395,6,123947.99311472371,신규 고객,SNS 프로모션,제휴 마케팅,5324,여성,40대
2023-11-02,전자제품,가전제품,414588.9498697107,1,414588.9498697107,일반 고객,SNS 프로모션,소셜 미디어,5796,여성,20대
2024-02-10,화장품,바디케어,71607.71315260134,3,214823.13945780403,충성 고객,제휴 마케팅,제휴 마케팅,8123,여성,40대
2024-07-06,의류,하의,54368.634019946905,3,163105.9020598407,충성 고객,,이메일,6586,여성,10대
2023-11-11,화장품,메이크업,69488.53080756744,4,277954.12323026976,신규 고객,SNS 프로모션,오프라인 광고,8476,여성,40대
2023-11-21,생활용품,욕실용품,40824.520188284674,2,81649.04037656935,일반 고객,SNS 프로모션,오프라인 광고,6612,남성,50대 이상
2023-07-21,전자제품,이어폰,361671.5579610594,3,1085014.6738831783,신규 고객,,이메일,9622,여성,40대
2023-02-15,의류,신발,157670.48328275722,8,1261363.8662620578,VIP 고객,신규 고객 할인,소셜 미디어,1136,여성,10대
2023-06-22,생활용품,주방용품,34764.62391772551,2,69529.24783545102,일반 고객,,이메일,2795,여성,20대
2024-05-03,화장품,헤어케어,30128.514485949596,3,90385.54345784879,일반 고객,신규 고객 할인,오프라인 광고,9572,남성,30대
2023-03-26,식품,육류,23928.944608162208,1,23928.944608162208,일반 고객,,이메일,7649,남성,20대
2023-03-13,생활용품,화장지,10172.677339153679,3,30518.03201746104,일반 고객,,소셜 미디어,5561,남성,50대 이상
2024-02-03,화장품,향수,15331.435862059696,1,15331.435862059696,충성 고객,제휴 마케팅,온라인 광고,6630,남성,50대 이상
2024-05-23,의류,신발,52142.956743146846,7,365000.6972020279,VIP 고객,신규 고객 할인,오프라인 광고,2281,남성,50대 이상
2024-04-22,식품,음료,13520.708567974445,1,13520.708567974445,신규 고객,,이메일,9183,남성,30대
2024-01-07,의류,신발,48407.374326515615,4,193629.49730606246,일반 고객,,제휴 마케팅,8623,여성,10대
2023-05-12,화장품,메이크업,34764.33145600108,3,104292.99436800323,신규 고객,시즌 세일,소셜 미디어,3318,여성,30대
2024-04-16,전자제품,이어폰,982593.1271701846,1,982593.1271701846,신규 고객,,이메일,8174,여성,40대
2023-07-31,화장품,향수,44733.90124240215,2,89467.8024848043,충성 고객,,제휴 마케팅,2960,남성,50대 이상
2023-07-05,전자제품,가전제품,103374.46059418266,2,206748.92118836532,VIP 고객,,제휴 마케팅,7579,여성,40대
2023-06-30,의류,하의,103927.81755120319,7,727494.7228584223,신규 고객,,오프라인 광고,1104,남성,20대
2023-11-24,의류,액세서리,99471.66635797908,11,1094188.3299377698,일반 고객,SNS 프로모션,오프라인 광고,3076,남성,50대 이상
2023-02-16,식품,과일,9526.366474942704,1,9526.366474942704,신규 고객,,소셜 미디어,1548,남성,10대
2023-02-18,생활용품,화장지,17155.960328727702,4,68623.84131491081,신규 고객,,이메일,4122,남성,10대
2023-09-30,생활용품,청소용품,28259.452145365503,2,56518.90429073101,일반 고객,,온라인 광고,9199,여성,20대
2024-03-15,화장품,헤어케어,20009.34676489435,1,20009.34676489435,VIP 고객,,소셜 미디어,3648,여성,10대
2023-08-26,생활용품,화장지,43500.27249478587,2,87000.54498957175,일반 고객,회원 전용 이벤트,소셜 미디어,7467,남성,30대
2023-04-14,전자제품,이어폰,464768.05922183604,4,1859072.2368873442,신규 고객,,제휴 마케팅,7327,여성,50대 이상
2024-07-06,생활용품,청소용품,36580.80583279901,3,109742.41749839703,충성 고객,,이메일,4508,남성,30대
2024-07-06,생활용품,화장지,21170.105608288108,1,21170.105608288108,일반 고객,,이메일,4763,남성,20대
2023-06-09,생활용품,욕실용품,24365.972534977333,1,24365.972534977333,일반 고객,,온라인 광고,3926,여성,30대
2023-08-31,전자제품,태블릿,738290.2043798718,1,738290.2043798718,충성 고객,회원 전용 이벤트,제휴 마케팅,5547,남성,30대
2024-01-02,생활용품,화장지,17563.48901267721,3,52690.46703803164,일반 고객,,소셜 미디어,2361,남성,40대
2024-02-26,의류,상의,95796.83749195337,5,478984.18745976686,VIP 고객,제휴 마케팅,이메일,5352,여성,20대
2023-04-14,전자제품,스마트폰,445999.1807280557,2,891998.3614561114,신규 고객,,온라인 광고,1698,여성,30대
2024-06-04,식품,유제품,9075.705384071945,3,27227.116152215836,충성 고객,,소셜 미디어,2617,남성,50대 이상
2024-03-10,전자제품,이어폰,167836.10784111838,4,671344.4313644735,신규 고객,,제휴 마케팅,8713,남성,10대
2024-05-29,화장품,헤어케어,42423.31625530798,2,84846.63251061596,충성 고객,신규 고객 할인,제휴 마케팅,3934,남성,10대
2023-02-06,의류,아우터,65342.120562747055,7,457394.8439392294,일반 고객,신규 고객 할인,이메일,5072,남성,10대
2023-06-19,의류,하의,81299.39465426902,1,81299.39465426902,충성 고객,,소셜 미디어,8241,여성,20대
2023-04-13,전자제품,스마트폰,679818.6303623063,2,1359637.2607246125,일반 고객,,소셜 미디어,5108,남성,10대
2023-06-23,생활용품,욕실용품,28775.896602145807,3,86327.68980643743,충성 고객,,소셜 미디어,8834,남성,30대
2023-09-17,화장품,스킨케어,49043.91952436116,3,147131.7585730835,신규 고객,,제휴 마케팅,8305,남성,30대
2023-01-09,의류,하의,140465.79842396887,9,1264192.18581572,신규 고객,,온라인 광고,8223,여성,10대
2023-01-16,식품,유제품,21084.281209266785,1,21084.281209266785,신규 고객,,제휴 마케팅,2944,여성,50대 이상
2024-01-29,식품,육류,11598.054405114182,4,46392.21762045673,신규 고객,,소셜 미디어,4086,여성,40대
2023-10-07,식품,간식,10463.209152614478,4,41852.83661045791,충성 고객,,소셜 미디어,3797,여성,50대 이상
2024-07-31,화장품,스킨케어,30328.032846605714,4,121312.13138642286,신규 고객,,온라인 광고,8467,남성,50대 이상
2024-01-19,식품,육류,9324.327782594213,3,27972.98334778264,일반 고객,,소셜 미디어,2252,여성,10대
2024-01-10,전자제품,이어폰,1029995.9625584098,6,6179975.775350459,일반 고객,,이메일,1256,남성,50대 이상
2024-02-28,전자제품,태블릿,305949.9269728553,2,611899.8539457106,일반 고객,제휴 마케팅,소셜 미디어,3674,남성,10대
2023-08-16,생활용품,세제,25396.2418111659,1,25396.2418111659,VIP 고객,회원 전용 이벤트,온라인 광고,4390,여성,20대
2023-08-27,식품,유제품,22623.261559004815,2,45246.52311800963,신규 고객,회원 전용 이벤트,소셜 미디어,9447,여성,10대
2024-05-06,생활용품,세제,17076.66495651396,3,51229.99486954188,VIP 고객,신규 고객 할인,이메일,5085,여성,20대
2023-08-03,의류,아우터,96886.54832826256,7,678205.838297838,일반 고객,회원 전용 이벤트,온라인 광고,6669,여성,10대
2023-06-17,식품,과일,12790.303205616061,3,38370.909616848185,VIP 고객,,온라인 광고,6980,여성,50대 이상
2024-06-27,생활용품,주방용품,31679.112864113562,1,31679.112864113562,일반 고객,,이메일,6717,여성,10대
2024-05-26,식품,유제품,15161.199124573239,3,45483.59737371972,일반 고객,신규 고객 할인,이메일,4069,남성,50대 이상
2023-05-09,의류,액세서리,26009.704475575832,4,104038.81790230333,일반 고객,시즌 세일,오프라인 광고,9416,남성,30대
2023-05-17,생활용품,청소용품,27497.24729852553,9,247475.22568672977,VIP 고객,시즌 세일,소셜 미디어,2618,여성,50대 이상
2023-02-10,화장품,헤어케어,79999.58776860817,1,79999.58776860817,충성 고객,신규 고객 할인,제휴 마케팅,8797,여성,40대
2023-07-04,의류,하의,128105.01286272425,4,512420.051450897,일반 고객,,온라인 광고,1980,남성,50대 이상
2023-09-04,식품,과일,18197.727108790074,3,54593.18132637022,VIP 고객,,제휴 마케팅,8909,남성,20대
2024-03-06,화장품,향수,41885.25875044587,6,251311.55250267521,일반 고객,,오프라인 광고,1327,여성,40대
2023-12-18,화장품,바디케어,17311.911790120274,3,51935.735370360824,신규 고객,,오프라인 광고,2823,남성,20대
2023-10-01,화장품,헤어케어,40754.76405333969,6,244528.58432003815,충성 고객,,소셜 미디어,2752,여성,20대
2023-08-25,화장품,메이크업,65812.74849517707,3,197438.24548553122,신규 고객,회원 전용 이벤트,제휴 마케팅,3958,남성,50대 이상
2024-03-05,의류,신발,121877.50432932611,2,243755.00865865222,일반 고객,,오프라인 광고,9690,남성,50대 이상
2024-04-29,식품,유제품,15834.354285935198,2,31668.708571870397,신규 고객,,오프라인 광고,5540,남성,50대 이상
2023-11-05,전자제품,스마트폰,616480.3414467834,4,2465921.3657871336,신규 고객,SNS 프로모션,오프라인 광고,2028,여성,10대
2024-01-29,전자제품,노트북,252492.3108354855,2,504984.621670971,충성 고객,,제휴 마케팅,6318,여성,40대
2024-01-21,의류,하의,86057.22853338749,8,688457.8282670999,VIP 고객,,소셜 미디어,4429,남성,30대
2024-05-21,생활용품,청소용품,31273.0673711669,2,62546.1347423338,일반 고객,신규 고객 할인,이메일,3620,남성,30대
2024-03-18,화장품,헤어케어,45244.72063169617,1,45244.72063169617,일반 고객,,이메일,1294,남성,10대
2024-07-15,화장품,헤어케어,47225.36557096033,2,94450.73114192067,일반 고객,,온라인 광고,7343,여성,40대
2024-03-21,식품,채소,12698.151651889082,6,76188.90991133449,일반 고객,,오프라인 광고,5392,남성,30대
2023-03-17,화장품,바디케어,24334.876269558266,4,97339.50507823307,충성 고객,,제휴 마케팅,7610,남성,50대 이상
2023-10-21,생활용품,주방용품,20636.784932608396,4,82547.13973043358,일반 고객,,제휴 마케팅,2317,남성,40대
2023-01-19,의류,아우터,125223.20765233754,3,375669.6229570126,신규 고객,,오프라인 광고,7450,여성,30대
2023-01-21,식품,유제품,20502.17432543148,2,41004.34865086296,일반 고객,,제휴 마케팅,4897,남성,10대
2024-04-03,의류,아우터,47478.11361488143,2,94956.22722976287,일반 고객,,이메일,9285,남성,40대
2023-12-21,화장품,헤어케어,58510.979499510606,4,234043.91799804242,일반 고객,,오프라인 광고,5923,남성,50대 이상
2024-04-04,화장품,바디케어,42789.21450124144,6,256735.28700744864,일반 고객,,온라인 광고,9664,여성,30대
2024-01-28,의류,상의,112755.60919424171,1,112755.60919424171,일반 고객,,이메일,9093,남성,10대
2023-10-23,화장품,향수,67206.59689241064,2,134413.19378482128,일반 고객,,온라인 광고,3261,남성,50대 이상
2024-07-03,식품,간식,28775.51862934187,1,28775.51862934187,신규 고객,,이메일,2886,여성,50대 이상
2023-11-18,화장품,바디케어,61133.04618465611,1,61133.04618465611,신규 고객,SNS 프로모션,이메일,2247,남성,30대
2024-05-08,식품,간식,26005.2324881662,8,208041.8599053296,일반 고객,신규 고객 할인,제휴 마케팅,1576,남성,10대
2024-04-20,생활용품,청소용품,38016.25547342378,10,380162.5547342378,신규 고객,,오프라인 광고,9028,여성,20대
2024-01-18,식품,채소,6220.911853680096,1,6220.911853680096,VIP 고객,,오프라인 광고,1775,남성,10대
2024-01-21,전자제품,이어폰,530802.3027248349,1,530802.3027248349,신규 고객,,이메일,6508,남성,10대
2024-03-09,식품,채소,23313.491458457363,3,69940.47437537208,일반 고객,,오프라인 광고,7858,여성,40대
2024-06-29,화장품,향수,35520.191858784754,1,35520.191858784754,신규 고객,,온라인 광고,1797,여성,20대
2023-05-24,화장품,향수,65711.23479533759,3,197133.70438601275,일반 고객,시즌 세일,소셜 미디어,2447,남성,40대
2024-03-26,전자제품,스마트폰,279262.11381588,2,558524.22763176,일반 고객,,이메일,6157,남성,10대
2024-02-03,의류,하의,77736.1387947754,6,466416.83276865236,신규 고객,제휴 마케팅,소셜 미디어,5208,남성,30대
2023-01-19,의류,상의,38425.13100914056,8,307401.0480731245,충성 고객,,소셜 미디어,6493,남성,40대
2023-07-28,의류,액세서리,98164.72623260095,5,490823.6311630048,신규 고객,,오프라인 광고,7749,여성,50대 이상
2023-10-24,의류,아우터,141520.68720843067,4,566082.7488337227,신규 고객,,이메일,6161,남성,50대 이상
2023-07-14,전자제품,가전제품,148905.72166528687,4,595622.8866611475,일반 고객,,제휴 마케팅,4138,여성,30대
2023-06-15,생활용품,주방용품,43713.838711619166,3,131141.5161348575,일반 고객,,이메일,4349,남성,10대
2023-12-05,전자제품,가전제품,217751.80358283428,5,1088759.0179141713,일반 고객,,이메일,8716,남성,20대
2024-01-18,화장품,메이크업,69949.77560175711,5,349748.87800878554,일반 고객,,이메일,9169,여성,20대
2023-05-07,화장품,스킨케어,75821.25881809529,3,227463.77645428586,일반 고객,시즌 세일,오프라인 광고,9360,남성,50대 이상
2023-01-26,식품,과일,27937.6470058012,4,111750.5880232048,일반 고객,,제휴 마케팅,8668,남성,50대 이상
2024-01-17,의류,상의,109872.34839384028,8,878978.7871507222,충성 고객,,이메일,9287,남성,40대
2023-08-30,의류,아우터,134540.70616994746,4,538162.8246797898,VIP 고객,회원 전용 이벤트,온라인 광고,1862,여성,40대
2023-12-23,생활용품,세제,26409.51271300066,2,52819.02542600132,일반 고객,,이메일,4557,남성,40대
2023-02-20,화장품,향수,20877.921061148805,4,83511.68424459522,VIP 고객,,이메일,8530,남성,30대
2023-01-28,식품,채소,27225.764160208364,4,108903.05664083346,일반 고객,,이메일,2029,남성,40대
2023-11-20,생활용품,화장지,35637.69410255634,2,71275.38820511269,VIP 고객,SNS 프로모션,소셜 미디어,3037,남성,40대
2023-05-06,식품,간식,8102.461754687347,1,8102.461754687347,일반 고객,시즌 세일,온라인 광고,5952,남성,30대
2023-01-26,전자제품,노트북,197338.23283220478,1,197338.23283220478,일반 고객,,이메일,4584,여성,30대
2023-10-15,전자제품,스마트폰,334088.5851434119,1,334088.5851434119,신규 고객,,제휴 마케팅,1413,여성,40대
2023-07-28,화장품,향수,32265.485532817238,3,96796.45659845171,신규 고객,,제휴 마케팅,1792,여성,40대
2024-02-28,전자제품,태블릿,549171.3163819858,1,549171.3163819858,일반 고객,제휴 마케팅,소셜 미디어,4315,여성,50대 이상
2024-06-11,화장품,바디케어,71364.42968422534,5,356822.1484211267,신규 고객,,제휴 마케팅,3335,여성,20대
2023-04-01,생활용품,청소용품,26078.27236731199,2,52156.54473462398,일반 고객,,소셜 미디어,5684,여성,20대
2024-05-11,생활용품,주방용품,44793.4409646746,9,403140.96868207137,일반 고객,신규 고객 할인,오프라인 광고,5777,남성,20대
2023-06-18,생활용품,화장지,18418.1937466474,3,55254.5812399422,신규 고객,,온라인 광고,1199,여성,50대 이상
2023-05-16,생활용품,욕실용품,48093.802241657824,4,192375.2089666313,신규 고객,시즌 세일,이메일,1212,여성,30대
2024-05-16,전자제품,태블릿,543413.090873132,6,3260478.545238792,충성 고객,신규 고객 할인,제휴 마케팅,1939,남성,30대
2023-02-25,의류,액세서리,153515.28495988649,4,614061.1398395459,일반 고객,,소셜 미디어,5304,남성,10대
2024-07-18,생활용품,욕실용품,19418.48234356486,5,97092.4117178243,일반 고객,,온라인 광고,1122,남성,10대
2023-08-16,생활용품,세제,16195.741185223917,3,48587.22355567175,일반 고객,회원 전용 이벤트,제휴 마케팅,3802,남성,10대
2023-09-14,의류,신발,131757.66583933478,1,131757.66583933478,충성 고객,,이메일,1258,남성,30대
2023-08-30,식품,과일,26231.413181507567,3,78694.2395445227,일반 고객,회원 전용 이벤트,온라인 광고,9035,여성,20대
2024-03-25,식품,유제품,8317.399259666305,5,41586.99629833152,VIP 고객,,이메일,7840,남성,40대
2023-08-23,의류,신발,31763.285780270653,4,127053.14312108261,충성 고객,회원 전용 이벤트,소셜 미디어,3184,남성,30대
2023-09-09,화장품,스킨케어,44003.19925400512,5,220015.99627002561,일반 고객,,소셜 미디어,6705,남성,20대
2024-01-12,전자제품,가전제품,351735.97799379873,4,1406943.911975195,신규 고객,,제휴 마케팅,6628,여성,50대 이상
2023-12-07,의류,상의,20969.675496601536,7,146787.72847621076,VIP 고객,,온라인 광고,1119,여성,10대
2023-03-05,전자제품,노트북,868870.4704565943,2,1737740.9409131885,신규 고객,,온라인 광고,6067,남성,30대
2023-03-28,생활용품,주방용품,16380.745357188674,3,49142.236071566025,VIP 고객,,오프라인 광고,7199,여성,40대
2023-07-10,생활용품,욕실용품,24934.3510224029,5,124671.7551120145,일반 고객,,온라인 광고,6437,여성,30대
2023-10-06,생활용품,화장지,39186.52001897583,1,39186.52001897583,일반 고객,,제휴 마케팅,1139,남성,10대
2023-07-25,의류,하의,42426.66734776837,2,84853.33469553675,일반 고객,,이메일,2387,여성,30대
2024-02-12,의류,신발,63604.212427908205,15,954063.1864186231,충성 고객,제휴 마케팅,오프라인 광고,3001,여성,50대 이상
2023-12-30,화장품,바디케어,27024.408375104664,1,27024.408375104664,일반 고객,,오프라인 광고,1373,여성,50대 이상
2023-05-20,생활용품,청소용품,24427.35313502828,3,73282.05940508484,일반 고객,시즌 세일,오프라인 광고,6142,남성,20대
2024-01-08,전자제품,노트북,832183.4391145938,1,832183.4391145938,충성 고객,,오프라인 광고,5328,여성,50대 이상
2024-05-15,식품,간식,11617.814416492372,4,46471.25766596949,신규 고객,신규 고객 할인,오프라인 광고,3993,여성,10대
2024-03-18,생활용품,주방용품,37710.2377876315,1,37710.2377876315,VIP 고객,,제휴 마케팅,6713,여성,10대
2024-01-12,식품,유제품,19063.18640593123,4,76252.74562372491,일반 고객,,이메일,2296,여성,30대
2024-04-05,화장품,메이크업,19204.30680999978,2,38408.61361999956,일반 고객,,제휴 마케팅,6984,여성,30대
2023-01-11,식품,채소,13303.285936817478,1,13303.285936817478,충성 고객,,소셜 미디어,4839,여성,40대
2024-06-09,화장품,스킨케어,21092.191994286877,4,84368.76797714751,일반 고객,,온라인 광고,1852,남성,20대
2023-09-23,화장품,메이크업,87688.36854611502,1,87688.36854611502,일반 고객,,온라인 광고,2896,남성,10대
2023-12-12,전자제품,노트북,290962.1199012254,5,1454810.599506127,일반 고객,,오프라인 광고,6470,남성,20대
2024-01-27,의류,상의,89169.2944663832,6,535015.7667982993,일반 고객,,온라인 광고,7263,여성,30대
2024-05-18,식품,간식,5999.060730262483,9,53991.54657236235,신규 고객,신규 고객 할인,온라인 광고,7766,남성,30대
2024-01-02,화장품,메이크업,80553.99441292348,3,241661.98323877045,신규 고객,,소셜 미디어,7597,여성,20대
2024-01-12,생활용품,욕실용품,22394.4801441419,1,22394.4801441419,신규 고객,,오프라인 광고,9132,남성,40대
2024-02-11,생활용품,욕실용품,26671.016555183014,4,106684.06622073206,일반 고객,제휴 마케팅,소셜 미디어,7814,여성,10대
2023-06-10,의류,아우터,106859.4642492954,4,427437.8569971816,일반 고객,,제휴 마케팅,4404,남성,10대
2024-04-15,전자제품,가전제품,336786.2270308928,3,1010358.6810926783,신규 고객,,이메일,2463,여성,20대
2024-07-27,생활용품,청소용품,45838.31749489865,2,91676.6349897973,신규 고객,,오프라인 광고,7272,남성,30대
2024-05-23,전자제품,태블릿,371510.11686738994,1,371510.11686738994,VIP 고객,신규 고객 할인,제휴 마케팅,7149,여성,30대
2024-07-07,생활용품,주방용품,26869.050625269178,2,53738.101250538355,일반 고객,,온라인 광고,3536,여성,30대
2024-04-02,의류,아우터,37225.62841557948,3,111676.88524673844,일반 고객,,온라인 광고,1762,남성,20대
2023-05-25,식품,유제품,20159.637880989205,1,20159.637880989205,신규 고객,시즌 세일,온라인 광고,1135,남성,40대
2024-05-12,생활용품,세제,21866.029210497687,4,87464.11684199075,신규 고객,신규 고객 할인,제휴 마케팅,5805,남성,40대
2023-08-28,생활용품,청소용품,33923.871939742545,6,203543.23163845527,신규 고객,회원 전용 이벤트,이메일,8105,여성,10대
2023-02-05,화장품,메이크업,44165.9771350033,2,88331.9542700066,충성 고객,신규 고객 할인,제휴 마케팅,3653,여성,30대
2023-09-22,전자제품,노트북,542702.13367045,2,1085404.2673409,충성 고객,,온라인 광고,4256,여성,30대
2024-05-01,식품,과일,18045.654084580692,1,18045.654084580692,신규 고객,신규 고객 할인,이메일,8695,여성,30대
2024-01-14,생활용품,세제,20259.4716259798,4,81037.8865039192,신규 고객,,소셜 미디어,4499,여성,20대
2024-06-04,식품,과일,26520.803612902764,4,106083.21445161106,일반 고객,,제휴 마케팅,4451,여성,50대 이상
2024-06-01,전자제품,노트북,843678.6581503024,4,3374714.6326012095,신규 고객,,온라인 광고,5067,남성,10대
2024-01-18,화장품,스킨케어,61400.32340755005,4,245601.2936302002,신규 고객,,소셜 미디어,2251,남성,50대 이상
2023-03-14,전자제품,태블릿,553593.1073398859,3,1660779.3220196576,VIP 고객,,제휴 마케팅,1963,여성,50대 이상
2023-04-05,화장품,스킨케어,53189.55961352242,2,106379.11922704484,일반 고객,,온라인 광고,8326,남성,10대
2023-12-23,생활용품,청소용품,27848.510427483292,3,83545.53128244987,일반 고객,,소셜 미디어,4468,남성,40대
2024-05-05,화장품,메이크업,17117.006506065944,1,17117.006506065944,일반 고객,신규 고객 할인,온라인 광고,3879,여성,20대
2023-02-07,화장품,바디케어,49563.77144136354,6,297382.6286481812,신규 고객,신규 고객 할인,오프라인 광고,4914,남성,30대
2023-08-14,의류,하의,43011.77611843099,2,86023.55223686199,신규 고객,회원 전용 이벤트,온라인 광고,4585,여성,20대
2023-02-01,식품,채소,21037.280991972177,3,63111.84297591653,일반 고객,신규 고객 할인,제휴 마케팅,7325,남성,50대 이상
2024-03-01,생활용품,화장지,14155.97214266546,5,70779.8607133273,신규 고객,,이메일,5801,여성,30대
2023-05-15,생활용품,청소용품,46602.124517179735,2,93204.24903435947,일반 고객,시즌 세일,오프라인 광고,2500,여성,20대
2024-03-15,전자제품,이어폰,427590.7907188011,3,1282772.3721564033,일반 고객,,제휴 마케팅,9471,여성,40대
2023-09-05,식품,간식,15261.438226087566,5,76307.19113043783,신규 고객,,제휴 마케팅,8775,남성,40대
2024-04-12,화장품,바디케어,79091.91681513705,3,237275.75044541116,충성 고객,,이메일,3842,남성,30대
2024-07-12,식품,채소,16772.40201002755,3,50317.20603008264,충성 고객,,온라인 광고,6558,여성,40대
2023-11-10,전자제품,이어폰,1005856.059309023,2,2011712.118618046,일반 고객,SNS 프로모션,제휴 마케팅,3720,여성,50대 이상
2023-03-30,식품,음료,9160.99859546421,2,18321.99719092842,일반 고객,,제휴 마케팅,6884,남성,50대 이상
2024-06-26,화장품,향수,62525.377518767586,2,125050.75503753517,VIP 고객,,오프라인 광고,7528,여성,30대
2024-04-24,의류,액세서리,81181.72557815428,1,81181.72557815428,신규 고객,,오프라인 광고,9355,여성,30대
2023-06-02,화장품,향수,40191.62167269289,4,160766.48669077156,신규 고객,,오프라인 광고,8469,여성,50대 이상
2023-09-06,전자제품,가전제품,252387.61064816627,3,757162.8319444988,일반 고객,,온라인 광고,4648,여성,50대 이상
2024-04-03,전자제품,스마트폰,545285.4136217262,6,3271712.4817303573,충성 고객,,이메일,4655,남성,30대
2023-03-09,생활용품,욕실용품,11066.551834888287,1,11066.551834888287,VIP 고객,,제휴 마케팅,4463,여성,30대
2024-01-07,식품,과일,15334.493455464055,2,30668.98691092811,VIP 고객,,오프라인 광고,6928,남성,20대
2024-04-19,식품,간식,29231.469722365797,3,87694.40916709739,신규 고객,,온라인 광고,3307,여성,30대
2023-09-18,전자제품,노트북,518491.55102952913,5,2592457.7551476457,일반 고객,,소셜 미디어,5133,남성,10대
2023-09-12,전자제품,노트북,623009.4403139778,4,2492037.761255911,일반 고객,,제휴 마케팅,2535,남성,30대
2023-04-25,생활용품,화장지,43969.82546734331,4,175879.30186937324,신규 고객,,오프라인 광고,4043,여성,20대
2023-05-26,화장품,바디케어,39824.75318145283,6,238948.51908871694,충성 고객,시즌 세일,오프라인 광고,7664,여성,40대
2024-04-29,식품,음료,27606.530059624427,4,110426.12023849771,VIP 고객,,이메일,2761,남성,40대
2023-03-23,화장품,헤어케어,29777.41693821673,3,89332.2508146502,VIP 고객,,제휴 마케팅,4584,여성,50대 이상
2024-07-29,식품,음료,20844.289537122437,2,41688.57907424487,VIP 고객,,소셜 미디어,7471,여성,20대
2023-04-06,전자제품,노트북,928237.0925037819,5,4641185.46251891,신규 고객,,오프라인 광고,1034,남성,30대
2024-07-21,화장품,향수,27561.17709589735,3,82683.53128769205,일반 고객,,이메일,1952,남성,20대
2024-03-14,식품,채소,16677.690172698756,3,50033.07051809627,신규 고객,,제휴 마케팅,2575,남성,40대
2023-08-03,화장품,향수,72790.74577812871,7,509535.22044690093,일반 고객,회원 전용 이벤트,이메일,5372,남성,30대
